"Recognition Number","Name","Legal Name","Acronym","Email","Website","Status","Head Office Address Line 1","Head Office Address Line 2","Head Office Address Town/City","Head Office Address County","Head Office Address Postcode","Head Office Address Country","Head Office Address Telephone Number"
"RN5112","ABC Awards","ABC Awards","ABC","enquiries@abcawards.co.uk","www.abcawards.co.uk/","Recognised","Robins Wood House, Robins Wood Rd, ","Aspley","Nottingham","Notts","NG8 3NH","United Kingdom","0115 854 1616"
"RN5113","Association of Chartered Certified Accountants","Association of Chartered Certified Accountants","ACCA","info@accaglobal.com","www.accaglobal.com","Recognised","29 Lincoln's Inn Fields","","London","","WC2A 3EE","United Kingdom","+44 (0)141 582 2000"
"RN5114","Amateur Swimming Association","Amateur Swimming Association","ASA","info@awardingbodyasa.com","http://awardingbodyasa.co.uk/","Recognised","Awarding Body, Sportpark","3 Oakwood Drive","Loughborough","","LE11 3QF","United Kingdom","01509 640493"
"RN5115","British Ballet Organisation","British Ballet Organisation Limited","BBO","info@bbo.org.uk","bbo.org.uk","Recognised","BBO","Unit A Ensign House.Battersea Reach, Juniper Drive","Wandsworth","London","SW18 1TA","United Kingdom","020 8748 1241 "
"RN5116","British Driving Society","The British Driving Society Limited","BDS","bdseducation@btinternet.com","www.britishdrivingsociety.co.uk","Recognised","British Driving Society","Endersley, Church Road","Wingfield, Nr Eye","Suffolk","IP21 5QZ","United Kingdom","01 379 384 612"
"RN5117","British Institute of Facilities Management","The British Institute of Facilities Management Limited","BIFM","qualifications@bifm.org.uk","www.bifm.org.uk","Recognised","Number One Building","The Causeway","Bishop's Stortford","Herts.","CM23 2ER","United Kingdom","0845 058 1355"
"RN5118","BIIAB","BIIAB","BIIAB","deniset@bii.org","www.biiab.org","Recognised","Infor House","1 Lakeside Road","Farnborough","Hampshire","GU14 6XP","United Kingdom","01276 684449"
"RN5119","British Safety Council","British Safety Council","BSC","qualifications@britsafe.org","www.britsafe.org","Recognised","70 Chancellors Road","","London","","W6 9RS","United Kingdom","020 8741 1231"
"RN5120","British Wheel of Yoga Qualifications","The British Wheel of Yoga Limited","BWYQ","headofopps@bwyq.org.uk","www.bwyq.org.uk","Recognised","25 Jermyn Street","Sleaford","","Lincolnshire","NG34 7RU","United Kingdom","01529 306857"
"RN5121","Council for Awards in Care, Health and Education","Council for Awards in Care, Health and Education","CACHE","info@cache.org.uk","www.cache.org.uk","Surrendered","Apex House","81 Camp Road","St Albans","Herts","AL1 5GB","United Kingdom","0845 3472123"
